dataset,wrapper_duration,archive_duration,archive_aggregation_duration
Biodegradeable,122.92069029808044,120.55028785864512,0.7369992733001709
Breastcancer,48.488282577196756,47.605107593536374,0.3061344067255656
Clean2,3503.5944261789323,3399.631525460879,31.514208467801414
Climate,44.0637140194575,43.30571323235829,0.18030736446380616
German_credit,155.54888676007587,152.29177446365355,1.0914470593134562
Ionosphere,42.526789196332295,41.774619277318315,0.2699953317642212
Madelon,7560.782661088308,7127.875766770045,69.30104111830393
Uci_imageseg,44.78417437076568,44.035337686538696,0.17770750522613527
Uci_parkinsons,52.23068064053853,51.340515891710915,0.18474090099334717
Uci_voice,92.58832422892253,89.13548464775086,2.2198363224665325
Urbanland,225.33984305063885,219.21888984839123,1.2127452929814657
Wine,47.402389375368756,46.61796178817749,0.128395676612854

