dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.2955962792362896,0.5194865409331348,0.26533808641486856,0.48957193586714287,0.3334996640259601
Breastcancer,0.3105426246805556,0.7140120415982484,0.49256962067306714,0.8249425287356322,0.3872942893632542
Clean2,0.16045185579450666,0.37031472359058604,0.554621208931554,0.916349206349209,0.29883328264574543
Climate,0.5027084473636195,nan,0.3379903302317096,0.7366794380587476,0.561270753512133
German_credit,0.24671923451452854,0.6911754207938485,0.2880264948548202,0.7058748104480166,0.2887997120143471
Hepatitis,0.4145778238700193,0.5994814622763754,0.46757612421859246,0.8878402903811236,0.4973745186721552
Ionosphere,0.28255169591883555,0.4567774236131225,0.3492358809397352,0.8240703177822867,0.34827789294320755
Sonar,0.19685649365024946,0.5847238393790116,0.20148863269552902,nan,0.23199442411369334
Spect,0.3457733326698851,0.6421834104592749,0.653755784445438,0.8007314524555941,0.5083556418039158
Uci_imageseg,0.38438193184109737,0.7393829401088953,0.5969751966122177,0.7881427707199,0.5444710915219044
Uci_libras,0.09797740525374908,nan,0.0621437064909801,nan,0.15802730524116482
Uci_parkinsons,0.565552072448624,0.6342215256008363,0.8184952978056386,nan,0.8232497387669793
Uci_voice,0.026672383601931575,nan,0.25042202374433054,0.9648473612656088,0.07687483164597107
Urbanland,0.09407460495106328,nan,0.23653202662112127,nan,0.16719064297885716
Wine,0.3321956970232837,nan,0.4151871500147358,nan,0.3894459180666067
